Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,Polyline,,,,chelkot lines,,,,,,,,-1,96.7824,478.1363
1,Polyline,,,,chelkot lines,,,,,,,,-1,101.2226,489.8967
1,Polyline,,,,chelkot lines,,,,,,,,-1,92.8129,391.3534
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.6840,500.9704
1,Polyline,,,,chelkot lines,,,,,,,,-1,426.9675,323.8882
1,Polyline,,,,chelkot lines,,,,,,,,-1,153.7411,1217.0888
1,Polyline,,,,chelkot lines,,,,,,,,-1,141.7038,215.5579
1,Polyline,,,,chelkot lines,,,,,,,,-1,127.5824,870.3152
