Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,3D Polyline,,,,2200,,,,,,,,-1,109.5942,
1,3D Polyline,,,,2200,,,,,,,,-1,95.8833,
1,3D Polyline,,,,2200,,,,,,,,-1,79.4193,
1,3D Polyline,,,,2200,,,,,,,,-1,60.2141,
1,3D Polyline,,,,2200,,,,,,,,-1,86.1665,
1,3D Polyline,,,,2200,,,,,,,,-1,86.8985,
1,3D Polyline,,,,2200,,,,,,,,-1,104.3984,
1,3D Polyline,,,,2200,,,,,,,,-1,96.2172,
1,3D Polyline,,,,2200,,,,,,,,-1,99.6695,
1,3D Polyline,,,,2200,,,,,,,,-1,75.1385,
1,3D Polyline,,,,2200,,,,,,,,-1,77.7502,
1,3D Polyline,,,,2200,,,,,,,,-1,72.2524,
1,3D Polyline,,,,2200,,,,,,,,-1,67.4557,
1,3D Polyline,,,,2200,,,,,,,,-1,69.9619,
1,3D Polyline,,,,2200,,,,,,,,-1,69.6465,
1,3D Polyline,,,,2200,,,,,,,,-1,109.1573,
1,3D Polyline,,,,2200,,,,,,,,-1,67.8102,
1,3D Polyline,,,,2200,,,,,,,,-1,75.0759,
1,3D Polyline,,,,2200,,,,,,,,-1,85.3892,
1,3D Polyline,,,,2200,,,,,,,,-1,141.9490,
1,3D Polyline,,,,2200,,,,,,,,-1,147.6710,
1,3D Polyline,,,,2200,,,,,,,,-1,43.5746,
1,3D Polyline,,,,2200,,,,,,,,-1,0.4409,
1,3D Polyline,,,,2200,,,,,,,,-1,177.5049,
1,3D Polyline,,,,2200,,,,,,,,-1,8.9946,
1,3D Polyline,,,,2200,,,,,,,,-1,63.9250,
1,3D Polyline,,,,2200,,,,,,,,-1,243.9213,
1,3D Polyline,,,,2200,,,,,,,,-1,24.4895,
1,3D Polyline,,,,2200,,,,,,,,-1,26.4074,
1,3D Polyline,,,,2200,,,,,,,,-1,73.4555,
1,3D Polyline,,,,2200,,,,,,,,-1,66.1173,
1,3D Polyline,,,,2200,,,,,,,,-1,62.4651,
1,3D Polyline,,,,2200,,,,,,,,-1,73.6029,
1,3D Polyline,,,,2200,,,,,,,,-1,69.5636,
1,3D Polyline,,,,2200,,,,,,,,-1,14.3280,
1,3D Polyline,,,,2200,,,,,,,,-1,1.3615,
1,3D Polyline,,,,2200,,,,,,,,-1,110.3169,
1,3D Polyline,,,,2200,,,,,,,,-1,157.5069,
1,3D Polyline,,,,2200,,,,,,,,-1,131.2109,
1,2802,,,,2802,,,180169.8000,654304.3500,58.5400,,,,,
1,Attribute Definition,,,,0,,,180169.8000,654304.8500,58.5400,,,,,
1,Attribute Definition,,,,0,,,180187.0077,654291.5158,57.7500,,,,,
1,2802,,,,2802,,,180188.1500,654291.2200,57.7500,,,,,
1,Attribute Definition,,,,0,,,180188.1500,654291.7200,57.7500,,,,,
1,Attribute Definition,,,,0,,,180126.0977,654431.3358,61.9400,,,,,
1,2802,,,,2802,,,180119.7100,654488.8000,63.3000,,,,,
1,Attribute Definition,,,,0,,,180127.2400,654431.5400,61.9400,,,,,
1,Attribute Definition,,,,0,,,180168.6577,654304.6458,58.5400,,,,,
1,2802,,,,2802,,,180127.2400,654431.0400,61.9400,,,,,
1,Attribute Definition,,,,0,,,180215.0877,654394.0958,59.3600,,,,,
1,2802,,,,2802,,,180202.7300,654305.0600,57.9400,,,,,
1,Attribute Definition,,,,0,,,180216.2300,654394.3000,59.3600,,,,,
1,Attribute Definition,,,,0,,,180161.0677,654302.2158,58.0400,,,,,
1,2802,,,,2802,,,180216.2300,654393.8000,59.3600,,,,,
1,Attribute Definition,,,,0,,,180169.4400,654299.4700,58.2500,,,,,
1,Attribute Definition,,,,0,,,180168.2977,654299.2658,58.2500,,,,,
1,2802,,,,2802,,,180169.4400,654298.9700,58.2500,,,,,
1,Attribute Definition,,,,0,,,180202.7300,654305.5600,57.9400,,,,,
1,Attribute Definition,,,,0,,,180201.5877,654305.3558,57.9400,,,,,
1,Attribute Definition,,,,0,,,179832.3075,654431.3758,58.6900,,,,,
1,2809,,,,2809,,,179847.9400,654430.0900,58.6100,,,,,
1,Attribute Definition,,,,0,,,179832.4528,654431.5800,58.6900,,,,,
1,Attribute Definition,,,,0,,,179864.9275,654459.4558,58.1200,,,,,
1,2809,,,,2809,,,179833.7600,654431.0800,58.6900,,,,,
1,Attribute Definition,,,,0,,,179928.0628,654246.6800,60.0200,,,,,
1,Attribute Definition,,,,0,,,179927.9175,654246.4758,60.0200,,,,,
1,2809,,,,2809,,,179929.3700,654246.1800,60.0200,,,,,
1,Attribute Definition,,,,0,,,179846.6328,654430.5900,58.6100,,,,,
1,Attribute Definition,,,,0,,,179846.4875,654430.3858,58.6100,,,,,
1,Attribute Definition,,,,0,,,180146.5500,654307.6200,58.1100,,,,,
1,Attribute Definition,,,,0,,,180145.4077,654307.4158,58.1100,,,,,
1,2802,,,,2802,,,180146.5500,654307.1200,58.1100,,,,,
1,Attribute Definition,,,,0,,,180119.7100,654489.3000,63.3000,,,,,
1,Attribute Definition,,,,0,,,180118.5677,654489.0958,63.3000,,,,,
1,2809,,,,2809,,,179866.3800,654459.1600,58.1200,,,,,
1,Attribute Definition,,,,0,,,179865.0728,654459.6600,58.1200,,,,,
1,Attribute Definition,,,,0,,,179818.4175,654437.1258,58.0300,,,,,
1,2809,,,,2809,,,179819.8700,654436.8300,58.0300,,,,,
1,Attribute Definition,,,,0,,,179818.5628,654437.3300,58.0300,,,,,
1,Attribute Definition,,,,0,,,180162.2100,654302.4200,58.0400,,,,,
1,Attribute Definition,,,,0,,,180119.1700,654765.2600,66.0800,,,,,
1,Attribute Definition,,,,0,,,180118.0277,654765.0558,66.0800,,,,,
1,2802,,,,2802,,,180119.1700,654764.7600,66.0800,,,,,
1,Attribute Definition,,,,0,,,179892.9300,654581.6200,60.6100,,,,,
1,Attribute Definition,,,,0,,,179891.7877,654581.4158,60.6100,,,,,
1,2802,,,,2802,,,180194.0000,654264.4800,56.0700,,,,,
1,Attribute Definition,,,,0,,,180194.0000,654264.9800,56.0700,,,,,
1,Attribute Definition,,,,0,,,180017.6677,654646.7858,65.0800,,,,,
1,2802,,,,2802,,,180018.8100,654646.4900,65.0800,,,,,
1,Attribute Definition,,,,0,,,180018.8100,654646.9900,65.0800,,,,,
1,2802,,,,2802,,,179883.8000,654582.6000,60.1500,,,,,
1,Attribute Definition,,,,0,,,179883.8000,654583.1000,60.1500,,,,,
1,Attribute Definition,,,,0,,,179809.6777,654273.2258,59.1300,,,,,
1,2802,,,,2802,,,179810.8200,654272.9300,59.1300,,,,,
1,Attribute Definition,,,,0,,,179810.8200,654273.4300,59.1300,,,,,
1,Attribute Definition,,,,0,,,179916.6377,654575.7058,61.0400,,,,,
1,2802,,,,2802,,,179892.9300,654581.1200,60.6100,,,,,
1,Attribute Definition,,,,0,,,179917.7800,654575.9100,61.0400,,,,,
1,Attribute Definition,,,,0,,,179882.6577,654582.8958,60.1500,,,,,
1,2802,,,,2802,,,179917.7800,654575.4100,61.0400,,,,,
1,2802,,,,2802,,,180195.4400,654297.0500,58.0500,,,,,
1,Attribute Definition,,,,0,,,180195.4400,654297.5500,58.0500,,,,,
1,Attribute Definition,,,,0,,,180177.2877,654294.5558,58.2500,,,,,
1,2802,,,,2802,,,180178.4300,654294.2600,58.2500,,,,,
1,Attribute Definition,,,,0,,,180178.4300,654294.7600,58.2500,,,,,
